n_cells,dx,error_linf,observed_order
16,0.0625,0.0007782941797916942,
32,0.03125,4.931794253604238e-05,3.980131049229759
64,0.015625,3.0930005799900684e-06,3.9950336050473636
128,0.0078125,1.9347897228794153e-07,3.9987584191639227
256,0.00390625,1.2095040857751371e-08,3.9996892317339814
512,0.001953125,7.559838310911005e-10,3.99991645405391
